Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jak,BE24286227352414,BE28463477243738,Fri Mar 06 05:06:36 CET 2020,-750.23,EUR,Illum velit sint temporibus nemo.
Jos,BE28463477243738,BE24286227352414,Mon Feb 24 00:01:02 CET 2020,-1887.64,EUR,Suscipit aut qui in ex temporibus fuga laborum.
Jak,BE24286227352414,BE28463477243738,Wed Mar 11 02:27:22 CET 2020,-3610.35,EUR,Accusantium omnis ea et amet autem libero qui.
Jak,BE24286227352414,BE07284332370129,Sun Feb 16 18:11:57 CET 2020,-4626.21,EUR,Voluptate odit magni quia culpa ipsa non.
Jef,BE53347255615327,BE07284332370129,Sat Mar 07 18:43:13 CET 2020,-658.56,EUR,Occaecati dolorem eum perspiciatis.
Jos,BE28463477243738,BE53347255615327,Sun Feb 16 22:21:32 CET 2020,1909.04,EUR,Commodi in voluptas labore alias nam.
Jos,BE28463477243738,BE53347255615327,Sun Mar 01 18:21:50 CET 2020,-4057.2,EUR,Deserunt sed assumenda et et.
Jef,BE53347255615327,BE07284332370129,Fri Feb 21 17:37:17 CET 2020,4818.89,EUR,Nulla sed molestias mollitia dolorem iste.
Jan,BE07284332370129,BE24286227352414,Sun Mar 01 02:05:47 CET 2020,-4101.47,EUR,Odit exercitationem dicta quia facere sunt.
Jef,BE53347255615327,BE24286227352414,Tue Mar 03 19:17:35 CET 2020,-4461.51,EUR,Et eaque vel.
Jos,BE28463477243738,BE07284332370129,Sun Mar 08 17:40:44 CET 2020,2702.75,EUR,Voluptas quibusdam hic molestiae saepe natus.
Jef,BE53347255615327,BE24286227352414,Sat Mar 07 16:46:30 CET 2020,-3759.79,EUR,Aut in in id quia.
Jan,BE07284332370129,BE53347255615327,Tue Mar 03 13:26:03 CET 2020,-2427.56,EUR,Eos ut doloremque quae.
Jos,BE28463477243738,BE53347255615327,Wed Mar 04 02:08:38 CET 2020,4129.38,EUR,Aut est at ut quibusdam eum.
Jan,BE07284332370129,BE24286227352414,Tue Mar 03 17:01:10 CET 2020,-42.19,EUR,Dolorum harum cum ut inventore.
Jan,BE07284332370129,BE24286227352414,Mon Mar 09 08:06:28 CET 2020,1211.76,EUR,Natus dolores debitis accusantium odit.
Jak,BE24286227352414,BE28463477243738,Wed Mar 11 05:26:05 CET 2020,-2288.78,EUR,Natus quia quo.
Jos,BE28463477243738,BE07284332370129,Sat Mar 07 00:03:04 CET 2020,-3951.01,EUR,Culpa itaque eligendi ut eum est.
Jak,BE24286227352414,BE07284332370129,Thu Mar 05 19:16:28 CET 2020,3390.71,EUR,Blanditiis perspiciatis tenetur expedita alias.
Jos,BE28463477243738,BE07284332370129,Tue Mar 10 21:23:32 CET 2020,-179.66,EUR,Quia nobis architecto et dolorem optio corporis assumenda.
Jan,BE07284332370129,BE24286227352414,Mon Mar 02 18:04:31 CET 2020,4492.79,EUR,Porro mollitia consectetur dignissimos repudiandae.
Jef,BE53347255615327,BE28463477243738,Mon Mar 09 14:26:10 CET 2020,-2787.76,EUR,Eum laboriosam optio voluptate omnis et id sed.
Jef,BE53347255615327,BE24286227352414,Fri Mar 06 19:47:54 CET 2020,-1420.83,EUR,Ad at vero nemo accusamus.
Jan,BE07284332370129,BE24286227352414,Wed Mar 04 22:48:06 CET 2020,3553.44,EUR,A ut accusantium aspernatur hic consequatur.
Jak,BE24286227352414,BE07284332370129,Sun Mar 01 11:01:12 CET 2020,611.91,EUR,Officiis ut dicta et aperiam in magni.
Jef,BE53347255615327,BE07284332370129,Tue Mar 10 00:29:38 CET 2020,-4250.78,EUR,Quos dolorem rerum quas ut impedit excepturi et.
Jos,BE28463477243738,BE24286227352414,Fri Mar 06 01:26:12 CET 2020,-1686.11,EUR,Ut aliquid sed voluptatibus corrupti consequatur et.
Jef,BE53347255615327,BE07284332370129,Wed Mar 11 04:10:58 CET 2020,-211.84,EUR,Laboriosam et aut aspernatur aut est odio.
Jan,BE07284332370129,BE28463477243738,Sat Mar 07 21:20:59 CET 2020,-794.54,EUR,Dolorum est aut esse distinctio.
Jak,BE24286227352414,BE07284332370129,Wed Mar 04 19:01:15 CET 2020,-1886.83,EUR,Earum beatae reprehenderit ipsam incidunt aut reprehenderit dolores.
Jef,BE53347255615327,BE28463477243738,Tue Feb 18 23:53:30 CET 2020,4000.02,EUR,Et ad voluptatem sunt.
Jan,BE07284332370129,BE53347255615327,Tue Mar 10 11:29:55 CET 2020,4640.7,EUR,Ratione officiis vero vitae rerum.
Jak,BE24286227352414,BE07284332370129,Tue Mar 10 01:04:41 CET 2020,-3136.13,EUR,Aliquam quo natus rerum eligendi dignissimos natus molestiae.
Jos,BE28463477243738,BE53347255615327,Wed Feb 19 04:21:10 CET 2020,-4101.72,EUR,Dolorem quaerat odio magnam.
Jef,BE53347255615327,BE24286227352414,Mon Mar 09 11:57:30 CET 2020,-157.56,EUR,Dolorum repudiandae rem consequuntur doloribus nobis voluptatem.
Jan,BE07284332370129,BE24286227352414,Sun Mar 01 18:26:37 CET 2020,-216.25,EUR,Est illo vel.
Jak,BE24286227352414,BE53347255615327,Mon Mar 09 14:59:15 CET 2020,1376.71,EUR,Totam qui veritatis repudiandae.
Jan,BE07284332370129,BE53347255615327,Mon Mar 09 01:40:31 CET 2020,4328.12,EUR,Consectetur aliquam doloribus magnam voluptatem.
Jak,BE24286227352414,BE53347255615327,Sat Feb 29 15:35:01 CET 2020,-1196.8,EUR,Labore esse et nobis quia consectetur.
Jos,BE28463477243738,BE53347255615327,Sat Feb 29 04:42:41 CET 2020,2879.54,EUR,Nostrum voluptates quos.
Jak,BE24286227352414,BE53347255615327,Fri Mar 06 19:37:33 CET 2020,4476.44,EUR,Reiciendis vel soluta vel sint quia facilis ut.
Jef,BE53347255615327,BE24286227352414,Tue Mar 03 11:44:28 CET 2020,-3555.01,EUR,Officiis veniam error.
Jak,BE24286227352414,BE53347255615327,Wed Mar 11 08:40:26 CET 2020,-310.18,EUR,Suscipit nisi quia.
Jos,BE28463477243738,BE24286227352414,Wed Mar 11 06:15:27 CET 2020,-2744.03,EUR,Sint optio enim officiis.
Jak,BE24286227352414,BE28463477243738,Wed Mar 04 20:05:51 CET 2020,1455.63,EUR,Fuga voluptatum recusandae numquam distinctio omnis asperiores consequuntur.
Jan,BE07284332370129,BE53347255615327,Mon Mar 09 15:15:04 CET 2020,-2306.56,EUR,Id commodi distinctio molestiae qui qui repudiandae voluptatem.
Jan,BE07284332370129,BE53347255615327,Sun Mar 01 14:52:03 CET 2020,574.84,EUR,Quo optio fugit iusto rerum in inventore illo.
Jan,BE07284332370129,BE28463477243738,Wed Feb 26 19:51:11 CET 2020,-4984.15,EUR,Doloremque nam nihil qui ullam rem.
Jos,BE28463477243738,BE07284332370129,Fri Feb 28 18:35:54 CET 2020,-3229.15,EUR,Sapiente inventore et placeat aliquam.
Jef,BE53347255615327,BE24286227352414,Thu Feb 27 14:36:14 CET 2020,-3480.57,EUR,Sint assumenda et.
Jef,BE53347255615327,BE28463477243738,Tue Mar 10 13:40:15 CET 2020,-3979.87,EUR,Iure exercitationem accusamus consequatur.
Jak,BE24286227352414,BE53347255615327,Thu Mar 05 23:34:00 CET 2020,433.33,EUR,Natus nobis quod.
Jan,BE07284332370129,BE24286227352414,Fri Feb 28 05:38:00 CET 2020,4309.8,EUR,Et quia facere.
