Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jak,BE22379223845357,BE38927608084177,Tue Feb 25 16:55:58 CET 2020,-4441.59,EUR,Facere dolores voluptate quo quis recusandae.
Jak,BE22379223845357,BE88119383663904,Sun Mar 08 07:02:23 CET 2020,-3432.35,EUR,Ipsam optio facilis optio tempore est.
Jef,BE38927608084177,BE22379223845357,Mon Mar 09 06:18:03 CET 2020,-3564.57,EUR,Eligendi sint non blanditiis omnis.
Jan,BE88119383663904,BE22379223845357,Thu Mar 05 09:06:45 CET 2020,2976.24,EUR,Neque accusantium tenetur.
Jef,BE38927608084177,BE22379223845357,Sat Mar 07 15:32:28 CET 2020,1233.57,EUR,Ipsam corrupti odit omnis similique provident voluptatem.
Jef,BE38927608084177,BE43052967900514,Thu Mar 05 23:11:55 CET 2020,3608.28,EUR,Ut voluptatem adipisci optio atque.
Jak,BE22379223845357,BE43052967900514,Thu Mar 05 02:18:48 CET 2020,-1619.58,EUR,Quidem dolorem reiciendis est aliquam fugit.
Jak,BE22379223845357,BE43052967900514,Mon Mar 02 17:47:58 CET 2020,-1181.85,EUR,Autem inventore dolor odio consectetur.
Jos,BE43052967900514,BE22379223845357,Sun Mar 08 07:35:20 CET 2020,-3673.06,EUR,Perferendis qui cumque.
Jef,BE38927608084177,BE22379223845357,Thu Mar 05 22:42:21 CET 2020,4070.14,EUR,Qui est nulla molestias non.
Jak,BE22379223845357,BE43052967900514,Thu Mar 05 08:51:18 CET 2020,-3555.84,EUR,Accusamus ipsum aut qui quas.
Jan,BE88119383663904,BE38927608084177,Fri Feb 28 22:31:16 CET 2020,-486.93,EUR,Aliquid voluptatem expedita totam ea quo.
Jef,BE38927608084177,BE22379223845357,Tue Mar 10 22:26:19 CET 2020,-4282.22,EUR,Molestiae rerum omnis mollitia recusandae quo et et.
Jak,BE22379223845357,BE88119383663904,Mon Feb 24 12:03:47 CET 2020,-2227.19,EUR,Molestias voluptas voluptas qui mollitia.
Jef,BE38927608084177,BE22379223845357,Sat Feb 29 07:45:24 CET 2020,644.08,EUR,Doloribus excepturi tenetur quia voluptate sed corrupti et.
Jak,BE22379223845357,BE43052967900514,Thu Feb 27 09:39:02 CET 2020,4154.12,EUR,Consequatur voluptatem itaque nihil sunt voluptatem in laudantium.
Jan,BE88119383663904,BE43052967900514,Mon Mar 02 05:44:12 CET 2020,3600.38,EUR,Magni aut enim odio.
Jan,BE88119383663904,BE38927608084177,Tue Mar 03 05:09:00 CET 2020,-3758.88,EUR,Quis accusamus ut fugiat hic cupiditate.
Jan,BE88119383663904,BE22379223845357,Thu Feb 20 08:34:23 CET 2020,3949.78,EUR,Placeat qui eveniet ipsa eligendi similique.
Jak,BE22379223845357,BE88119383663904,Sun Mar 08 22:58:02 CET 2020,-196.39,EUR,Molestiae dolor eum voluptatum placeat tenetur consequatur aperiam.
Jan,BE88119383663904,BE38927608084177,Wed Feb 19 01:23:30 CET 2020,1411.44,EUR,Corporis nobis voluptas aliquam illo ad blanditiis eum.
Jak,BE22379223845357,BE43052967900514,Thu Mar 05 20:32:06 CET 2020,-1981.94,EUR,Similique nihil minus quia dolores ea.
Jak,BE22379223845357,BE38927608084177,Fri Feb 28 17:29:23 CET 2020,-3701.57,EUR,Quod consequatur nesciunt ex.
Jak,BE22379223845357,BE43052967900514,Wed Mar 11 12:33:55 CET 2020,3175.77,EUR,Iure omnis quos vel consequatur optio.
Jos,BE43052967900514,BE22379223845357,Sun Mar 08 02:46:35 CET 2020,-4171.69,EUR,Error fugit quas aut corporis.
Jan,BE88119383663904,BE43052967900514,Thu Mar 05 13:40:57 CET 2020,569.43,EUR,Omnis non ipsa voluptas provident.
Jos,BE43052967900514,BE38927608084177,Mon Mar 09 08:29:55 CET 2020,-3640.87,EUR,A aperiam et earum omnis quas.
Jan,BE88119383663904,BE43052967900514,Wed Mar 11 12:08:03 CET 2020,2109.08,EUR,Est blanditiis ea dignissimos rerum error ut.
Jos,BE43052967900514,BE88119383663904,Wed Mar 04 15:21:37 CET 2020,577.16,EUR,Suscipit accusantium velit quia quae dolorum numquam.
Jak,BE22379223845357,BE88119383663904,Sun Mar 08 16:57:27 CET 2020,-1676.84,EUR,Ut culpa qui.
Jos,BE43052967900514,BE88119383663904,Mon Mar 09 10:14:31 CET 2020,-996.9,EUR,Libero corrupti quia enim magni qui.
Jan,BE88119383663904,BE22379223845357,Wed Mar 04 12:56:55 CET 2020,406.03,EUR,Voluptates est non possimus molestiae et magni.
Jos,BE43052967900514,BE88119383663904,Sat Mar 07 23:55:01 CET 2020,4585.84,EUR,Voluptates iste consectetur earum.
Jak,BE22379223845357,BE88119383663904,Tue Feb 25 23:51:07 CET 2020,-86.91,EUR,Voluptatem soluta a totam animi minus eos fuga.
Jan,BE88119383663904,BE22379223845357,Thu Mar 05 21:23:32 CET 2020,-1462.16,EUR,Dignissimos numquam eius et sit.
Jan,BE88119383663904,BE22379223845357,Thu Mar 05 11:36:18 CET 2020,-3359.14,EUR,Nemo nihil est eos itaque illo est dicta.
Jos,BE43052967900514,BE88119383663904,Tue Feb 18 15:00:51 CET 2020,1271.46,EUR,Vero totam animi enim.
Jak,BE22379223845357,BE43052967900514,Mon Mar 09 08:53:24 CET 2020,-1907.93,EUR,Vel facere culpa et sunt minima magni.
Jos,BE43052967900514,BE88119383663904,Sun Mar 08 18:47:22 CET 2020,-2163.29,EUR,Magni vel itaque aut quaerat eveniet.
